,Age,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,GroupSize,Deck_enc,Europa,Mars,PSO J318.5-22,TRAPPIST-1e,CryoSleep,VIP,S,TotalSpendings
0,39.0,0.0,0.0,0.0,0.0,0.0,False,1,1,1,0,0,1,0,0,0,1.0
1,24.0,109.0,9.0,25.0,549.0,44.0,True,1,5,0,0,0,1,0,0,1,737.0
2,58.0,43.0,3576.0,0.0,6715.0,49.0,False,2,0,1,0,0,1,0,1,1,10385.0
3,33.0,0.0,1283.0,371.0,3329.0,193.0,False,2,0,1,0,0,1,0,0,1,5178.0
4,16.0,303.0,70.0,151.0,565.0,2.0,True,1,5,0,0,0,1,0,0,1,1092.0
5,44.0,0.0,483.0,0.0,291.0,0.0,True,1,5,0,0,1,0,0,0,0,775.0
6,26.0,42.0,1539.0,3.0,0.0,0.0,True,2,5,0,0,0,1,0,0,1,1586.0
7,28.0,0.0,0.0,0.0,0.0,584.9465648854962,True,2,6,0,0,0,1,1,0,1,586.9465648854962
8,35.0,0.0,785.0,17.0,216.0,0.0,True,1,5,0,0,0,1,0,0,1,1019.0
9,14.0,0.0,0.0,0.0,0.0,0.0,True,3,1,1,0,0,0,1,0,0,3.0
10,34.0,0.0,0.0,154.76223776223776,0.0,0.0,True,3,1,1,0,0,1,1,0,0,157.76223776223776
11,45.0,39.0,7295.0,589.0,110.0,124.0,True,3,1,1,0,0,0,0,0,0,8160.0
12,32.0,73.0,0.0,1123.0,0.0,113.0,True,1,5,0,1,0,1,0,0,0,1310.0
13,48.0,719.0,1.0,65.0,0.0,24.0,False,1,6,0,0,0,1,0,0,1,810.0
14,28.0,8.0,974.0,12.0,2.0,7.0,True,1,5,0,0,0,1,0,0,0,1004.0
15,31.0,32.0,0.0,876.0,0.0,0.0,False,1,6,0,0,0,1,0,0,0,909.0
16,27.0,1286.0,122.0,241.93650793650792,0.0,0.0,False,1,5,0,1,0,0,0,0,0,1650.936507936508
17,24.0,0.0,1.0,0.0,0.0,637.0,False,1,5,0,0,0,0,0,0,0,639.0
18,45.0,0.0,0.0,0.0,0.0,0.0,True,1,5,0,1,0,1,1,0,0,1.0
19,0.0,0.0,0.0,0.0,0.0,0.0,True,2,6,0,0,0,1,0,0,0,2.0
20,14.0,412.0,0.0,1.0,0.0,679.0,False,2,5,0,0,0,0,0,0,0,1094.0
21,1.0,0.0,0.0,0.0,0.0,0.0,False,6,4,0,0,0,1,1,0,1,6.0
22,49.0,0.0,0.0,0.0,0.0,0.0,False,6,4,0,0,0,0,1,0,1,6.0
23,29.0,0.0,0.0,203.9406392694064,0.0,0.0,False,6,4,0,0,0,0,1,0,1,209.9406392694064
24,10.0,0.0,0.0,0.0,0.0,0.0,True,6,4,0,0,0,1,0,0,1,6.0
25,1.0,0.0,0.0,0.0,0.0,0.0,False,6,4,0,0,1,0,1,0,1,6.0
26,7.0,0.0,0.0,0.0,0.0,0.0,False,6,4,0,0,0,1,0,0,1,6.0
27,21.0,980.0,2.0,69.0,0.0,0.0,False,1,3,0,1,0,1,0,0,0,1052.0
28,62.0,0.0,0.0,356.0,0.0,0.0,True,1,2,1,0,0,1,1,0,1,357.0
29,15.0,0.0,225.0,0.0,998.0,0.0,False,1,5,0,0,0,1,0,0,1,1224.0
30,34.0,22.0,6073.0,0.0,1438.0,328.0,False,1,2,1,0,0,0,0,0,0,7862.0
31,43.0,1125.0,0.0,136.0,48.0,0.0,False,1,5,0,1,0,1,0,0,0,1310.0
32,32.0,0.0,850.0,81.0,437.0,453.0,False,1,6,0,0,0,1,0,0,1,1822.0
33,47.0,214.0,0.0,1411.0,0.0,1229.0,True,3,5,0,1,0,1,0,0,0,2857.0
34,2.0,0.0,0.0,0.0,0.0,0.0,True,3,5,0,1,0,1,0,0,0,3.0
35,20.0,240.47744360902254,0.0,1750.0,990.0,0.0,True,3,5,0,1,0,1,0,0,0,2983.4774436090224
36,28.0,0.0,0.0,0.0,0.0,0.0,True,1,3,1,0,0,0,1,0,1,1.0
37,23.0,784.0,964.0,0.0,951.0,0.0,False,1,3,0,1,0,0,0,0,0,2700.0
38,15.0,0.0,492.0,48.0,20.0,401.0,False,1,5,0,0,0,0,0,0,1,962.0
39,20.0,554.0,195.0,0.0,2606.0,0.0,False,1,5,0,0,0,0,0,0,1,3356.0
40,30.0,0.0,0.0,149.05084745762713,0.0,0.0,False,1,6,0,0,0,0,1,0,0,150.05084745762713
41,17.0,0.0,0.0,0.0,0.0,0.0,True,1,6,0,0,0,1,1,0,0,1.0
42,45.0,0.0,164.0,45.0,2511.0,855.0,False,1,1,1,0,0,1,0,0,0,3576.0
43,55.0,0.0,0.0,0.0,0.0,0.0,False,3,6,0,0,0,1,1,0,0,3.0
44,4.0,0.0,0.0,0.0,0.0,0.0,True,3,6,0,0,0,0,1,0,0,3.0
45,21.0,0.0,0.0,0.0,0.0,0.0,True,3,6,0,0,1,0,1,0,0,3.0
46,21.0,970.0,0.0,180.0,0.0,64.0,False,2,5,0,1,0,1,0,0,0,1216.0
47,19.0,0.0,0.0,0.0,0.0,0.0,True,2,5,0,1,0,1,1,0,0,2.0
48,35.0,790.0,0.0,0.0,146.90853658536585,0.0,False,1,4,0,0,0,0,0,0,1,937.9085365853658
49,56.0,0.0,112.0,0.0,1379.0,127.0,False,1,4,0,0,0,1,0,0,1,1619.0
50,31.0,224.687617481203,458.07720329024676,173.72916912197996,311.1387779083431,304.8547912992357,False,1,6,0,0,0,1,0,0,1,1473.4875591010086
51,25.0,0.0,0.0,1938.0,0.0,1.0,True,1,5,0,0,0,1,0,0,1,1940.0
52,2.0,0.0,0.0,0.0,0.0,0.0,True,3,0,1,0,0,1,0,0,1,3.0
53,38.0,0.0,0.0,0.0,0.0,0.0,True,3,0,1,0,0,1,1,0,1,3.0
54,27.0,279.0,605.0,3374.0,286.0,3.0,True,3,0,1,0,0,1,0,0,1,4550.0
55,36.0,0.0,0.0,0.0,0.0,0.0,False,1,6,0,0,1,0,1,0,1,1.0
56,22.0,45.0,1096.0,148.0,1377.0,1.0,False,1,5,0,0,0,1,0,0,1,2668.0
57,62.0,0.0,592.0,0.0,17.0,25.0,False,1,5,0,0,0,1,0,0,1,635.0
58,15.0,0.0,0.0,0.0,0.0,0.0,True,2,5,0,1,0,1,1,0,1,2.0
59,33.0,0.0,0.0,196.5906432748538,0.0,0.0,True,2,4,0,1,0,1,1,0,1,198.5906432748538
